Label,Ground Truth,Predicted,Match
Q1,1,1,1
Q2,1,1,1
Q3,1,1,1
Q4,0,0,1
Q5,1,1,1
Q6,1,1,1
Q7,1,1,1
Q8,1,1,1
Q9,1,1,1
Q10,1,1,1
Q11,1,1,1
Q12,1,1,1
Q13,1,1,1
Q14,1,0,0
Q15,1,1,1
Q16,1,1,1
Q17,1,0,0
Q18,1,0,0
Q19,1,0,0
Q20,1,1,1
Q21,0,1,0
Q22,0,1,0
QS1,1,0,0
QS2,1,1,1
Q23,1,1,1
Q24,1,1,1
Q25,1,1,1
Q26,1,1,1
Q27,1,1,1
Q28,0,0,1
Q29,0,0,1
Q30,0,0,1
Q31,0,0,1
Q32,0,0,1
Q33,1,1,1
Q34,1,1,1
Q35,1,1,1
Q36,1,1,1
Q37,0,1,0
Q38,1,1,1
Q39,1,1,1
Q40,1,1,1
Q41,1,1,1
Q42,1,1,1
Q43,1,1,1
Q44,1,1,1
Q45,1,1,1
Q46,1,1,1
Q47,1,0,0
Q48,1,0,0
Q49,1,1,1
Q50,1,1,1
QR1,1,0,0
QR2,1,0,0
Q51,0,1,0
Q52,0,0,1
Q53,0,1,0
Q54,0,1,0
Q55,1,0,0
Q56,1,1,1
Q57,1,1,1
Q58,1,1,1
Q59,1,1,1
Q60,0,0,1
Q61,0,0,1
Q62,0,0,1
Q63,0,0,1
Q64,0,0,1
Q65,0,0,1
Q66,0,0,1
QMT1,1,1,1
QMT2,0,0,1
QMT3,0,1,0
QMT4,0,1,0
Q67,1,1,1
Q68,1,0,0
Q69,0,0,1
Q70,0,0,1
Q71,0,0,1
Q72,0,0,1
Q73,0,0,1
QMT5,1,1,1
Q74,1,1,1
Q75,0,1,0
Q76,0,1,0
Q77,1,1,1
Q78,1,1,1
Q79,1,1,1
Q80,1,1,1
Q81,1,1,1
Q82,0,1,0
